அ. க. நவநீதகிருட்டிணன்‎~19 மின்னூல்கள்
அ. சிதம்பரநாதன் செட்டியார்‎~10 மின்னூல்கள்
அ. மு. பரமசிவானந்தம்‎~69 மின்னூல்கள்
அவ்வை தி. க. சண்முகம்‎~6 மின்னூல்கள்
இராய. சொக்கலிங்கம்‎~4 மின்னூல்கள்
உடுமலை நாராயண கவி‎~1 மின்னூல்கள்
உவமைக்கவிஞர் சுரதா‎~25 மின்னூல்கள்
என். வி. கலைமணி‎~39 மின்னூல்கள்
எஸ். எம். கமால்‎~15 மின்னூல்கள்
எஸ். எஸ். தென்னரசு‎~6 மின்னூல்கள்
ஏ. கே. வேலன்‎~7 மின்னூல்கள்
ஔவை. சு. துரைசாமிப் பிள்ளை‎~10 மின்னூல்கள்
கவிஞர் அ. மருதகாசி‎~1 மின்னூல்கள்
கவிஞர் எஸ். டி. சுந்தரம்‎~5 மின்னூல்கள்
கவிஞர் கருணானந்தம்‎~5 மின்னூல்கள்
கவிஞர் கு. சா. கிருஷ்ணமூர்த்தி‎~7 மின்னூல்கள்
கவிஞர் தஞ்சை ராமையா தாஸ்‎~1 மின்னூல்கள்
கவிஞர் பெரியசாமித்தூரன்‎~67 மின்னூல்கள்
கவிஞர் மீரா‎~14 மின்னூல்கள்
கவிஞர் முருகு சுந்தரம்‎~26 மின்னூல்கள்
கவிஞர் வயலூர் சண்முகம்‎~9 மின்னூல்கள்
கவிஞர் வாணிதாசன்‎~19 மின்னூல்கள்
கவிஞர் வெள்ளியங்காட்டன்‎~14 மின்னூல்கள்
கவிஞாயிறு தாராபாரதி‎~1 மின்னூல்கள்
கவியரசு முடியரசன்‎~32 மின்னூல்கள்
கவிராஜ பண்டிதர் செகவீர பாண்டியனார்‎~36 மின்னூல்கள்
காழி. சிவ. கண்ணுசாமி பிள்ளை‎~3 மின்னூல்கள்
கி. ஆ. பெ. விசுவநாதம்‎~23 மின்னூல்கள்
கி. வா. ஜகந்நாதன்‎~141 மின்னூல்கள்
குன்றக்குடி அடிகளார்‎~28 மின்னூல்கள்
குழந்தைக் கவிஞர் அழ. வள்ளியப்பா‎~39 மின்னூல்கள்
கே. பி. நீலமணி‎~12 மின்னூல்கள்
கோவை இளஞ்சேரன்‎~17 மின்னூல்கள்
சக்திதாசன் சுப்பிரமணியன்‎~12 மின்னூல்கள்
சரோஜா ராமமூர்த்தி‎~6 மின்னூல்கள்
சா. விஸ்வநாதன் (சாவி)‎~19 மின்னூல்கள்
சி. பி. சிற்றரசு‎~12 மின்னூல்கள்
சின்ன அண்ணாமலை‎~1 மின்னூல்கள்
சு. சமுத்திரம்‎~33 மின்னூல்கள்
ஜலகண்டபுரம் ப. கண்ணன்‎~12 மின்னூல்கள்
ஜே. ஆர். ரங்கராஜு‎~3 மின்னூல்கள்
டாக்டர் கு. சீநிவாசன்‎~3 மின்னூல்கள்
டாக்டர் சி. சீனிவாசன்‎~6 மின்னூல்கள்
டாக்டர் ந. சஞ்சீவி‎~20 மின்னூல்கள்
டாக்டர் நெ. து. சுந்தரவடிவேலு‎~14 மின்னூல்கள்
டாக்டர் ரா. பி. சேதுப்பிள்ளை‎~8 மின்னூல்கள்
டாக்டர் வ. சுப. மாணிக்கம்‎~7 மின்னூல்கள்
டாக்டர். எஸ். நவராஜ் செல்லையா‎~101 மின்னூல்கள்
டாக்டர். மா. இராசமாணிக்கனார்‎~20 மின்னூல்கள்
தணிகைமணி வ. சு. செங்கல்வராயபிள்ளை‎~26 மின்னூல்கள்
தாசவதானி செய்குதம்பிப் பாவலர்‎~3 மின்னூல்கள்
தியாகி ப. ராமசாமி‎~28 மின்னூல்கள்
திருக்குறளார் முனுசாமி‎~9 மின்னூல்கள்
தொ. மு. சி. ரகுநாதன்‎~28 மின்னூல்கள்
தொ. மு. பாஸ்கரத் தொண்டைமான்‎~15 மின்னூல்கள்
நா. பார்த்தசாரதி‎~51 மின்னூல்கள்
நா. வானமாமலை‎~22 மின்னூல்கள்
நாரண துரைக்கண்ணன்‎~5 மின்னூல்கள்
பண்டிதர் க. அயோத்திதாசர்‎~8 மின்னூல்கள்
பம்மல் சம்பந்த முதலியார்‎~59 மின்னூல்கள்
பரிதிமாற் கலைஞர் வி. கோ. சூரியநாராயண சாஸ்திரி‎~13 மின்னூல்கள்
பாரதி அ. சீனிவாசன்‎~21 மின்னூல்கள்
